=====Sat Aug 22 13:36:21 2015
537.730937 kbps in 0.980535 seconds
257.061016 kbps in 0.991889 seconds
547.461563 kbps in 1.002737 seconds
588.943562 kbps in 0.994119 seconds
746.871000 kbps in 0.987619 seconds
427.999750 kbps in 1.000337 seconds
392.543437 kbps in 1.015857 seconds
559.287625 kbps in 1.014276 seconds
176.901891 kbps in 0.988661 seconds
248.392031 kbps in 1.028310 seconds
778.285000 kbps in 1.002255 seconds
989.471000 kbps in 0.990978 seconds
617.673125 kbps in 1.009997 seconds
431.884656 kbps in 1.040852 seconds
417.831625 kbps in 1.050988 seconds
511.086187 kbps in 0.990737 seconds
484.390906 kbps in 1.046857 seconds
551.296062 kbps in 0.989871 seconds
570.823688 kbps in 1.002299 seconds
534.543250 kbps in 1.005494 seconds
471.770469 kbps in 0.985191 seconds
494.116031 kbps in 0.985647 seconds
377.477062 kbps in 0.992357 seconds
783.305125 kbps in 1.011182 seconds
623.912063 kbps in 0.980510 seconds
427.161344 kbps in 1.015560 seconds
355.784469 kbps in 1.022012 seconds
497.208469 kbps in 1.034737 seconds
527.334625 kbps in 0.986076 seconds
556.891188 kbps in 1.015193 seconds
511.925750 kbps in 1.000395 seconds
431.400781 kbps in 0.994676 seconds
452.984594 kbps in 0.999045 seconds
544.011687 kbps in 0.986817 seconds
501.978594 kbps in 1.022705 seconds
361.895031 kbps in 1.003429 seconds
399.868344 kbps in 0.981423 seconds
417.250688 kbps in 1.033604 seconds
938.429562 kbps in 0.992100 seconds
743.932250 kbps in 0.988133 seconds
776.529250 kbps in 1.030833 seconds
568.547937 kbps in 0.996208 seconds
535.453375 kbps in 1.037446 seconds
456.566188 kbps in 0.996885 seconds
624.653875 kbps in 1.008059 seconds
775.136125 kbps in 0.985107 seconds
619.773937 kbps in 1.025716 seconds
684.378312 kbps in 1.005327 seconds
692.061500 kbps in 0.989623 seconds
969.827562 kbps in 1.035879 seconds
602.461250 kbps in 0.980551 seconds
545.939875 kbps in 1.019365 seconds
490.792188 kbps in 0.998826 seconds
583.353187 kbps in 1.004071 seconds
392.400500 kbps in 0.986013 seconds
645.736875 kbps in 1.010616 seconds
631.449187 kbps in 0.984757 seconds
562.490188 kbps in 0.980810 seconds
586.238938 kbps in 0.980433 seconds
673.830750 kbps in 0.986871 seconds
542.561375 kbps in 0.982569 seconds
545.890813 kbps in 1.055332 seconds
503.132125 kbps in 0.991819 seconds
680.514000 kbps in 0.988394 seconds
459.026844 kbps in 0.991820 seconds
633.162125 kbps in 0.990154 seconds
726.201875 kbps in 1.004492 seconds
424.332313 kbps in 0.984436 seconds
424.087188 kbps in 0.983760 seconds
527.815438 kbps in 0.995651 seconds
471.917500 kbps in 1.013211 seconds
491.391406 kbps in 1.037218 seconds
764.384625 kbps in 0.990381 seconds
733.869375 kbps in 0.989593 seconds
640.266000 kbps in 0.996111 seconds
464.836656 kbps in 0.985103 seconds
565.720625 kbps in 1.010025 seconds
589.020688 kbps in 0.996746 seconds
1399.509625 kbps in 0.991170 seconds
1829.357500 kbps in 1.012163 seconds
739.172375 kbps in 0.980318 seconds
840.009812 kbps in 0.991417 seconds
2058.368250 kbps in 1.026518 seconds
1655.545500 kbps in 0.993780 seconds
1606.903750 kbps in 0.989147 seconds
1480.574375 kbps in 1.022949 seconds
1749.436500 kbps in 0.993289 seconds
926.031000 kbps in 1.006273 seconds
491.756500 kbps in 0.983625 seconds
